model,rho_baseline,p_baseline,rho_steered,p_steered,improvement
anthropic__claude-3.7-sonnet,0.29411764705882354,0.268846554622893,0.2823529411764706,0.28934982906327383,-0.011764705882352955
anthropic__claude-haiku-4.5,0.07941176470588236,0.770025319039825,-0.0823529411764706,0.761733078752474,-0.16176470588235298
anthropic__claude-sonnet-4,-0.023529411764705882,0.931073583667659,-0.07352941176470588,0.7866792491258565,-0.05
anthropic__claude-sonnet-4.5,-0.049999999999999996,0.8540995521297436,-0.0588235294117647,0.8286807500332258,-0.008823529411764702
meta-llama__llama-3.1-405b-instruct,0.21176470588235297,0.431083247239221,0.27058823529411763,0.31076062710233504,0.05882352941176466
meta-llama__llama-3.1-8b-instruct,0.2352941176470588,0.38035580118865675,0.22352941176470587,0.40529834728275893,-0.011764705882352927
meta-llama__llama-3.3-70b-instruct,0.1647058823529412,0.5421481352010777,0.1176470588235294,0.6643410791623536,-0.047058823529411806
meta-llama__llama-4-maverick,-0.05294117647058824,0.8456104411493658,-0.0823529411764706,0.761733078752474,-0.02941176470588236
meta-llama__llama-4-scout,0.2323529411764706,0.38651134990798475,0.2647058823529412,0.3218043958686153,0.032352941176470584
openai__gpt-4.1,0.21764705882352942,0.41808684161130294,0.2088235294117647,0.43765851094980035,-0.008823529411764702
openai__gpt-4.1-mini,0.4558823529411765,0.07594549116741177,0.3852941176470588,0.1405441773736763,-0.07058823529411773
openai__gpt-4.1-nano,0.4088235294117647,0.11588783814878352,0.28529411764705886,0.28413874015956303,-0.12352941176470583
openai__gpt-4o,0.08823529411764705,0.7452220943671326,0.03823529411764706,0.8881976539853073,-0.04999999999999999
